"DateTime","NZU Volatility Prices - Percentages","NZUs - April 2022","NZUs - April 2023","NZUs - April 2024","NZUs - April 2025","NZUs - April 2026","NZUs - April 2027","NZUs - April 2028","NZUs - April 2029","NZUs - Spot"
"2021-11-11",,,,,,,,,,65
"2021-11-12",,,,,,,,,,64.8
"2021-11-15",,,,,,,,,,64.9
"2021-11-16",,,,,,,,,,65.1
"2021-11-17",,,,,,,,,,65.1
"2021-11-18",,,,,,,,,,64.9
"2021-11-19",,,,,,,,,,64.9
"2021-11-22",,,,,,,,,,64.8
"2021-11-23",,,,,,,,,,64.9
"2021-11-24",,,,,,,,,,64.9
"2021-11-25",,,,,,,,,,64.95
"2021-11-26",,,,,,,,,,64.9
"2021-11-29",,,,,,,,,,65
"2021-11-30",,,,,,,,,,65.05
"2021-12-01",,,,,,,,,,68.5
"2021-12-02",,,,,,,,,,68.4
"2021-12-03",,,,,,,,,,68.3
"2021-12-06",,,,,,,,,,68.25
"2021-12-07",,,,,,,,,,68.4
"2021-12-08",,,,,,,,,,68.15
"2021-12-09",,,,,,,,,,68.15
"2021-12-10",,,,,,,,,,68.1
"2021-12-13",,,,,,,,,,68
"2021-12-14",,68.77,71.17,73.67,76.25,80.75,,,,68.05
"2021-12-15",,68.9,71.3,73.82,76.42,80.95,,,,68.15
"2021-12-16",,68.9,71.3,73.82,76.42,80.95,,,,68.15
"2021-12-17",,68.9,71.3,73.82,76.42,80.95,,,,68.17
"2021-12-20",,69.17,71.6,74.12,76.72,81.25,,,,68.5
"2021-12-21",,69.17,71.6,74.12,76.72,81.25,,,,68.5
"2021-12-22",,69.2,71.65,74.17,76.77,81.3,,,,68.5
"2021-12-23",,69.2,71.65,74.17,76.77,81.3,,,,68.5
"2021-12-24",,69.2,71.65,74.17,76.77,81.3,,,,68.45
"2021-12-27",,69.2,71.65,74.17,76.77,81.3,,,,68.42
"2021-12-28",,69.2,71.65,74.17,76.77,81.3,,,,68.42
"2021-12-29",,68.87,71.27,73.77,76.37,79.05,,,,68.2
"2021-12-30",,68.8,71.22,73.72,76.3,78.97,,,,68.15
"2021-12-31",,68.8,71.22,73.72,76.3,78.97,,,,68.2
"2022-01-03",,68.8,71.22,73.72,76.3,78.97,,,,69.07
"2022-01-04",,68.8,71.22,73.72,76.3,78.97,,,,68.2
"2022-01-05",,68.8,71.22,73.72,76.3,78.97,,,,68.25
"2022-01-06",,68.8,71.22,73.72,76.3,78.97,,,,68.35
"2022-01-07",,68.8,71.22,73.72,76.3,78.97,,,,68.37
"2022-01-10",,69.2,71.62,74.12,76.72,79.42,,,,68.6
"2022-01-11",,69.7,72.12,74.67,77.27,80,,,,69.1
"2022-01-12",,70.85,73.32,75.87,78.57,81.32,,,,70.25
"2022-01-13",,71.6,74.1,76.7,79.4,82.17,,,,72
"2022-01-14",,71.6,74.1,76.6,79.4,83.3,,,,72
"2022-01-17",,72.55,75.1,77.75,80.5,83.3,,,,72.1
"2022-01-18",,72.8,75.43,77.85,80.6,83.4,,,,72.25
"2022-01-19",,73.9,76.5,79.15,81.92,84.75,,,,73.35
"2022-01-20",,74.85,77.5,80.15,82.97,85.9,,,,74.25
"2022-01-21",,75.55,78.15,80.9,83.75,86.67,,,,74.95
"2022-01-24",,75.55,78.15,80.9,83.75,86.67,,,,75
"2022-01-25",,75.55,78.15,80.9,83.75,86.67,,,,74.92
"2022-01-26",,75.65,78.27,81.02,83.85,86.82,,,,75.1
"2022-01-27",,75.8,78.42,81.17,84.05,86.97,,,,75.25
"2022-01-28",,,,,,,,,,74.87
"2022-01-31",,76.75,79.5,82.22,85.12,88.1,,,,76.25
"2022-02-01",,76.75,79.5,82.22,85.12,88.1,,,,76.25
"2022-02-02",,77.25,79.95,82.77,85.67,88.65,,,,76.75
"2022-02-03",,77.67,81.57,85.67,89.95,94.47,,,,77
"2022-02-04",,77.75,80.5,83.27,86.17,89.2,,,,77.25
"2022-02-07",,77.75,80.5,83.27,86.17,89.2,,,,77.25
"2022-02-08",,78.77,81.52,84.37,87.35,90.4,,,,78.3
"2022-02-09",,81.5,84.32,87.27,90.32,93.52,,,,81
"2022-02-10",,81.97,84.82,87.82,90.9,94.1,,,,81.5
"2022-02-11",,83.37,86.27,89.32,92.45,95.67,,,,82.9
"2022-02-14",,84.95,87.92,91,94.2,97.5,,,,84.5
"2022-02-15",,,,,,,,,,86.25
"2022-02-16",,85.95,88.95,92.05,95.3,98.62,,,,85.5
"2022-02-17",,85.5,88.42,91.52,94.75,98.05,,,,85
"2022-02-18",,84.4,87.37,90.45,93.6,96.95,,,,84
"2022-02-21",,84.4,87.37,90.45,93.6,96.95,,,,82.5
"2022-02-22",,,,,,,,,,80.75
"2022-02-23",,81.1,83.95,86.9,89.95,93.1,,,,80.75
"2022-02-24",,81.1,83.95,86.9,89.95,93.1,,,,80
"2022-02-25",,81.1,83.95,86.9,89.95,93.1,,,,80.75
"2022-02-28",,81.1,83.95,86.9,89.95,93.1,,,,80.5
"2022-03-01",,81.1,83.95,86.9,89.95,93.1,,,,80
"2022-03-02",,81.1,81.6,86.9,89.95,93.1,,,,78.5
"2022-03-03",,78.87,81.62,84.47,87.42,90.5,,,,79
"2022-03-04",,79.1,81.67,84.65,,,,,,78.5
"2022-03-07",,76.77,79.45,82.2,85.1,88.1,,,,76.5
"2022-03-08",,76.77,79.45,82.2,85.12,88.1,,,,74.75
"2022-03-09",,70.75,73.2,75.77,78.42,81.17,,,,70.5
"2022-03-10",,70.75,73.2,75.77,78.42,81.17,,,,72
"2022-03-11",,72.7,75.25,77.9,80.65,83.45,,,,72.5
"2022-03-14",,72.7,75.25,77.9,80.65,83.45,,,,72
"2022-03-15",,72.2,74.7,77.32,80.05,82.85,,,,71.75
"2022-03-16",,73.7,76.25,78.95,81.7,84.57,,,,73.5
"2022-03-17",,73.7,76.25,78.95,81.7,84.57,,,,73.62
"2022-03-18",,73.7,76.25,78.95,81.7,84.57,,,,73.62
"2022-03-21",,73.6,76.2,78.85,81.6,84.47,,,,73.45
"2022-03-22",,73,75.6,78.25,81,83.85,,,,72.9
"2022-03-23",,73.45,76,78.7,81.45,84.3,,,,73.3
"2022-03-24",,74.1,76.72,78.52,82.2,85.07,,,,74
"2022-03-25",,75.35,78,80.75,83.57,86.5,,,,75.25
"2022-03-28",,76.1,78.75,81.55,84.4,87.35,,,,76
"2022-03-30",,75.9,78.55,81.3,84.15,87.1,,,,76
"2022-03-31",,75.9,78.55,81.3,84.15,87.1,,,,75.9
"2022-04-01",,75.9,78.55,81.3,84.15,87.1,,,,76
"2022-04-04",,,78.55,81.3,84.15,87.1,75.9,,,76
"2022-04-05",,,78.7,81.45,84.32,87.3,90.35,,,76
"2022-04-06",,,78.7,81.45,84.32,87.3,90.35,,,76
"2022-04-07",,,78.7,81.45,84.32,87.3,90.35,,,75.95
"2022-04-08",,,78.6,81.35,84.17,87.15,90.2,,,75.9
"2022-04-11",,,78.57,81.7,84.95,88.35,91.9,,,75.5
"2022-04-12",,,79.32,82.5,85.77,89.22,92.77,,,76.25
"2022-04-13",,,79.6,82.8,86.05,89.5,93.07,,,76.5
"2022-04-14",,,79.6,82.8,86.05,89.5,93.07,,,76.5
"2022-04-15",,,79.57,82.75,86.05,89.47,93.07,,,76.95
"2022-04-18",,,79.57,82.75,86.05,89.47,93.07,,,77
"2022-04-19",,,79.9,83.1,86.37,89.87,93.45,,,76.85
"2022-04-20",,,79.9,83.1,86.37,89.87,93.45,,,76.85
"2022-04-21",,,79.25,82.45,85.72,89.12,92.72,,,76.25
"2022-04-22",,,79.25,82.45,85.72,89.12,92.72,,,76.1
"2022-04-25",,,79.25,82.45,85.72,89.12,92.72,,,76.2
"2022-04-26",,,78.85,,,,,,,75.9
"2022-04-27",,,78.85,82,85.25,88.67,92.2,,,75.75
"2022-04-28",,,78.85,82,85.25,88.67,92.2,,,75.9
"2022-04-29",,,78.85,82,85.25,88.67,92.2,,,75.9
"2022-05-02",,,78.85,82,85.25,88.67,92.2,,,75.9
"2022-05-03",,,78.85,82,85.25,88.67,92.2,,,75.87
"2022-05-04",,,79.12,82.27,85.57,89,92.6,,,76.2
"2022-05-05",,,79.12,82.27,85.57,89,92.6,,,76.3
"2022-05-06",,,79.4,82.57,85.85,89.3,92.85,,,76.5
"2022-05-09",,,79.4,82.57,85.85,89.3,92.85,,,76.47
"2022-05-10",,,79.4,82.57,85.85,89.3,92.85,,,76.45
