"DateTime","I-KCU20 Closing Price","I-KCU21 Closing Price","I-KOC20-22 Closing Price","I-KOC21-23 Closing Price","KAU Closing Price","KCU Closing Price","KOC20-22 Closing Price","KOC21-23 Closing Price"
"2019-09-27",,,,,39000,21800,35600,
"2019-09-30",,,,,35100,21800,35600,
"2019-10-01",,,,,31850,31850,35600,
"2019-10-02",,,,,31900,31850,35600,
"2019-10-04",,,,,31950,31850,35600,
"2019-10-07",,,,,32050,31850,35600,
"2019-10-08",,,,,32100,31850,35600,
"2019-10-10",,,,,32200,31850,35600,
"2019-10-11",,,,,32500,31850,35600,
"2019-10-14",,,,,32550,31850,35600,
"2019-10-15",,,,,32650,31850,35600,
"2019-10-16",,,,,32700,31850,35600,
"2019-10-17",,,,,32700,31850,35600,
"2019-10-18",,,,,32750,31850,35600,
"2019-10-21",,,,,32800,31850,35600,
"2019-10-22",,,,,32900,31850,35600,
"2019-10-23",,,,,32900,31850,35600,
"2019-10-24",,,,,33000,31850,35600,
"2019-10-25",,,,,33150,31850,35600,
"2019-10-28",,,,,33400,31850,35600,
"2019-10-29",,,,,33650,31850,35600,
"2019-10-30",,,,,33900,31850,35600,
"2019-10-31",,,,,33950,,35600,
"2019-11-01",,,,,34000,31850,35600,
"2019-11-04",,,,,34150,31850,35600,
"2019-11-05",,,,,34300,31850,35600,
"2019-11-06",,,,,34600,31850,35600,
"2019-11-07",,,,,34800,31850,35600,
"2019-11-08",,,,,35000,31850,35600,
"2019-11-11",,,,,35500,31850,35600,
"2019-11-12",,,,,35750,31850,35600,
"2019-11-13",,,,,36350,31850,35600,
"2019-11-14",,,,,36750,31850,35600,
"2019-11-15",,,,,35000,31850,35600,
"2019-11-18",,,,,36250,31850,35600,
"2019-11-19",,,,,36550,31850,35600,
"2019-11-20",,,,,36700,31850,35600,
"2019-11-21",,,,,36850,31850,35600,
"2019-11-22",,,,,37500,31850,35600,
"2019-11-25",,,,,37850,31850,35600,
"2019-11-26",,,,,38950,31850,35600,
"2019-11-27",,,,,38000,31850,35600,
"2019-11-28",,,,,38150,31850,35600,
"2019-11-29",,,,,38350,31850,37600,
"2019-12-02",,,,,37700,31850,37600,
"2019-12-03",,,,,37700,31850,37600,
"2019-12-04",,,37600,,38350,31850,37600,
"2019-12-05",,,37600,,38950,31850,37600,
"2019-12-06",,,37600,,39250,31850,37600,
"2019-12-09",,,37600,,39450,31850,37600,
"2019-12-10",,,37600,,39600,31850,37600,
"2019-12-11",,,37600,,39900,31850,37600,
"2019-12-12",,,37600,,40450,31850,37600,
"2019-12-13",,,37600,,40550,31850,37700,
"2019-12-16",,,37600,,40600,31850,37700,
"2019-12-17",,,37600,,40650,31850,37700,
"2019-12-18",,,37600,,40700,31850,37700,
"2019-12-19",,,37600,,40800,31850,37700,
"2019-12-20",,,37600,,40800,31850,37700,
"2019-12-23",,,37600,,40900,31850,37700,
"2019-12-24",,,37600,,37050,31850,37700,
"2019-12-26",,,37600,,39500,31850,37700,
"2019-12-27",,,37600,,37500,31850,37700,
"2019-12-30",,,37600,,38100,31850,39500,
"2020-01-02",,,37600,,36500,31850,39500,
"2020-01-03",,,37600,,35050,31850,39500,
"2020-01-06",,,37600,,33000,31850,39500,
"2020-01-07",,,37600,,35200,31850,39500,
"2020-01-08",,,37600,,36000,31850,39500,
"2020-01-09",,,37600,,35500,31850,39500,
"2020-01-10",,,37600,,38000,31850,39500,
"2020-01-13",,,37600,,38500,31850,39500,
"2020-01-14",,,37600,,39050,31850,39500,
"2020-01-15",,,37600,,37450,31850,39500,
"2020-01-16",,,37600,,38650,31850,39500,
"2020-01-17",,,37600,,38100,31850,39500,
"2020-01-20",,,37600,,38100,31850,39500,
"2020-01-21",,,37600,,37950,31850,39500,
"2020-01-22",,,37600,,38000,31850,39500,
"2020-01-23",,,37600,,38050,31850,39500,
"2020-01-28",,,37600,,38050,31850,39500,
"2020-01-29",,,37600,,38000,31850,39500,
"2020-01-30",,,37600,,38100,31850,39500,
"2020-01-31",,,37600,,38200,31850,39500,
"2020-02-03",,,37600,,38200,31850,39500,
"2020-02-04",,,37600,,38200,31850,39500,
"2020-02-05",,,37600,,38200,31850,39500,
"2020-02-06",,,37600,,37550,31850,39500,
"2020-02-07",,,37600,,37100,31850,39500,
"2020-02-10",,,37600,,38800,31850,39500,
"2020-02-11",,,37600,,39050,31850,39500,
"2020-02-12",,,37600,,39150,31850,39500,
"2020-02-13",,,37600,,38800,31850,39500,
"2020-02-14",,,37600,,38800,31850,39500,
"2020-02-17",,,37600,,38800,31850,39500,
"2020-02-18",,,37600,,39400,31850,39500,
"2020-02-19",,,37600,,39400,31850,39500,
"2020-02-20",,,37600,,39500,31850,39500,
"2020-02-21",,,37600,,39650,31850,39500,
"2020-02-24",,,37600,,39300,31850,39500,
"2020-02-25",,,37600,,39000,31850,39500,
"2020-02-26",,,37600,,39300,31850,39500,
"2020-02-27",,,37600,,39350,31850,39500,
"2020-02-28",,,37600,,39350,31850,39500,
"2020-03-02",,,37600,,39350,31850,39500,
"2020-03-03",,,37600,,39500,31850,39700,
"2020-03-04",,,37600,,40100,31850,40100,
"2020-03-05",,,37600,,39600,31850,40100,
"2020-03-06",,,37600,,39800,31850,40100,
"2020-03-09",,,37600,,39800,31850,40100,
"2020-03-10",,,37600,,39800,31850,40100,
"2020-03-11",,,37600,,39800,31850,40200,
"2020-03-12",,,37600,,39900,31850,40300,
"2020-03-13",,,37600,,40300,31850,40300,
"2020-03-16",,,37600,,40450,31850,40500,
"2020-03-17",,,37600,,40200,31850,40500,
"2020-03-18",,,37600,,40000,31850,40500,
"2020-03-19",,,37600,,40200,31850,40400,
"2020-03-20",,,37600,,40050,31850,40400,
"2020-03-23",,,37600,,40050,31850,40400,
"2020-03-24",,,37600,,40050,31850,40400,
"2020-03-25",,,37600,,40100,31850,40400,
"2020-03-26",,,37600,,40050,31850,40400,
"2020-03-27",,,37600,,40050,31850,40400,
"2020-03-30",,,37600,,40350,31850,40400,
"2020-03-31",,,37600,,40500,31850,40400,
"2020-04-01",,,37600,,40000,31850,40400,
"2020-04-02",,,37600,,40050,31850,40500,
"2020-04-03",,,37600,,40050,31850,40500,
"2020-04-06",,,37600,,40150,31850,40500,
"2020-04-07",,,37600,,40250,31850,40500,
"2020-04-08",,,37600,,40500,31850,40500,
"2020-04-09",,,37600,,40500,31850,40500,
"2020-04-10",,,37600,,40500,31850,40500,
"2020-04-13",,,37600,,40500,31850,40500,
"2020-04-14",,,37600,,40500,31850,40500,
"2020-04-16",,,37600,,40450,31850,40500,
"2020-04-17",,,37600,,40500,31850,40600,
"2020-04-20",,,37600,,40500,31850,40600,
"2020-04-21",,,37600,,40500,31850,40700,
"2020-04-22",,,37600,,40150,31850,40700,
"2020-04-23",,,37600,,40100,31850,40800,
"2020-04-24",,,37600,,40050,31850,40800,
"2020-04-27",,,37600,,40000,31850,40800,
"2020-04-28",,,37600,,39950,31850,40800,
"2020-04-29",,,37600,,39500,31850,40800,
"2020-05-04",,,37600,,39000,31850,40800,
"2020-05-06",,,37600,,38500,31850,40800,
"2020-05-07",,,37600,,38300,31850,40800,
"2020-05-08",,,37600,,38150,31850,40800,
