"DateTime","Auction Current Vintage - Spot - ARB","Auction Future Vintage - Spot - ARB","CCA - Front December - ICE","CCA - Spot - Evolution Markets","CCO3 - Spot - Evolution Markets","CCO8 - Spot - Evolution Markets","DEBS CCO-0 – Front Month – Nodal","Floor - Spot - ARB","Golden CCO - Spot - Evolution Markets"
"2015-11-12",,,12.91,12.89,11.53,11.13,,12.1,12.2
"2015-11-13",,,12.91,12.89,11.53,11.13,,12.1,12.2
"2015-11-16",,,12.95,12.93,11.53,11.13,,12.1,12.2
"2015-11-17",12.73,12.65,12.93,12.91,11.53,11.13,,12.1,12.2
"2015-11-18",,,12.94,12.91,11.53,11.13,,12.1,12.2
"2015-11-19",,,12.95,12.92,11.53,11.18,,12.1,12.25
"2015-11-20",,,12.95,12.92,11.53,11.18,,12.1,12.25
"2015-11-23",,,12.95,12.92,11.53,11.18,,12.1,12.25
"2015-11-24",,,12.92,12.9,11.53,11.18,,12.1,12.25
"2015-11-25",,,12.92,12.9,11.53,11.18,,12.1,12.25
"2015-11-30",,,12.92,12.9,11.53,11.18,,12.1,12.25
"2015-12-01",,,12.91,12.91,11.53,11.18,,12.1,12.25
"2015-12-02",,,12.89,12.89,11.53,11.18,,12.1,12.22
"2015-12-03",,,,12.9,11.53,11.3,,12.1,12.22
"2015-12-04",,,,12.89,11.53,11.3,,12.1,12.22
"2015-12-07",,,,12.87,11.53,11.3,,12.1,12.22
"2015-12-08",,,,12.85,11.53,11.3,,12.1,12.2
"2015-12-09",,,,12.84,11.5,11.2,,12.1,12.1
"2015-12-10",,,,12.83,11.5,11.2,,12.1,12.1
"2015-12-11",,,,12.82,11.5,11.2,,12.1,12.1
"2015-12-14",,,12.84,12.84,11.5,11.2,,12.1,12.1
"2015-12-15",,,12.84,12.84,11.5,11.2,,12.1,12.1
"2015-12-16",,,12.84,12.84,11.5,11.2,,12.1,12.1
"2015-12-17",,,12.83,12.83,11.5,11.2,,12.1,12.1
"2015-12-18",,,12.81,12.81,11.5,11.2,,12.1,12.1
"2015-12-21",,,12.8,12.8,11.5,11.2,,12.1,12.1
"2015-12-23",,,12.79,12.79,11.5,11.2,,12.1,12.1
"2015-12-24",,,12.79,12.79,11.5,11.2,,12.1,12.1
"2015-12-28",,,,12.79,11.5,11.2,,12.1,12.1
"2015-12-29",,,,12.79,11.5,11.2,,12.1,12.1
"2015-12-30",,,,12.79,11.5,11.2,,12.1,12.1
"2015-12-31",,,,12.79,11.5,11.2,,12.1,12.1
"2016-01-04",,,13.2,12.83,11.55,11.33,,12.73,12.12
"2016-01-05",,,13.19,12.81,11.3,11.15,,12.73,12.12
"2016-01-06",,,13.16,12.78,11.38,11.15,,12.73,12.12
"2016-01-07",,,13.18,12.8,11.38,11.15,,12.73,12.12
"2016-01-08",,,13.2,12.82,11.38,11.15,,12.73,12.12
"2016-01-11",,,13.22,12.82,11.38,11.15,,12.73,12.12
"2016-01-12",,,13.21,12.82,11.43,11.15,,12.73,12.18
"2016-01-13",,,13.24,12.84,11.43,11.15,,12.73,12.18
"2016-01-14",,,13.21,12.81,11.43,11.15,,12.73,12.18
"2016-01-15",,,13.2,12.8,11.43,11.15,,12.73,12.18
"2016-01-19",,,13.18,12.8,11.43,11.15,,12.73,12.18
"2016-01-20",,,13.18,12.79,11.43,11.15,,12.73,12.18
"2016-01-21",,,13.18,12.8,11.43,11.15,,12.73,12.18
"2016-01-22",,,13.2,12.81,11.43,11.15,,12.73,12.18
"2016-01-25",,,13.2,12.81,11.43,11.15,,12.73,12.18
"2016-01-26",,,13.22,12.83,11.43,11.15,,12.73,12.18
"2016-01-27",,,13.24,12.83,11.43,11.15,,12.73,12.15
"2016-01-28",,,13.23,12.83,11.43,11.15,,12.73,12.15
"2016-01-29",,,13.22,12.83,11.43,11.15,,12.73,12.15
"2016-02-01",,,13.23,12.87,11.43,11.15,,12.73,12.15
"2016-02-04",,,13.24,12.87,11.45,11.15,,12.73,12.15
"2016-02-05",,,13.23,12.86,11.45,11.15,,12.73,12.15
"2016-02-08",,,13.24,12.86,11.45,11.15,,12.73,12.15
"2016-02-09",,,,12.85,11.5,11.2,,12.73,12.2
"2016-02-10",,,13.23,12.85,11.5,11.2,,12.73,12.2
"2016-02-11",,,13.21,12.84,11.5,11.2,,12.73,12.15
"2016-02-12",,,13.16,12.79,11.5,11.2,,12.73,12.15
"2016-02-16",,,13.13,12.76,11.45,11.15,,12.73,12.12
"2016-02-17",12.73,12.73,13.1,12.76,11.45,11.15,,12.73,12.12
"2016-02-18",,,13.06,12.74,11.45,11.15,,12.73,12.12
"2016-02-19",,,13.06,12.74,11.45,11.15,,12.73,12.12
"2016-02-22",,,13.02,12.73,11.45,11.15,,12.73,12.12
"2016-02-23",,,12.7,12.52,11.27,11,,12.73,11.88
"2016-02-24",,,12.71,12.5,11.28,11,,12.73,11.88
"2016-02-25",,,12.72,12.5,11.28,11,,12.73,11.88
"2016-02-26",,,12.99,12.5,11.33,11,,12.73,11.95
"2016-02-29",,,12.98,12.5,11.33,11,,12.73,11.95
"2016-03-01",,,12.98,12.72,11.5,11.1,,12.73,12.03
"2016-03-02",,,12.98,12.72,11.5,11.1,,12.73,12.03
"2016-03-03",,,12.98,12.72,11.5,11.1,,12.73,12.07
"2016-03-04",,,12.98,12.72,11.5,11.1,,12.73,12.07
"2016-03-07",,,12.98,12.72,11.5,11.1,,12.73,12.07
"2016-03-08",,,12.96,12.69,11.5,11.1,,12.73,12.15
"2016-03-09",,,12.93,12.67,11.5,11.1,,12.73,12.12
"2016-03-10",,,12.88,12.62,11.5,11.1,,12.73,12.05
"2016-03-11",,,12.88,12.62,11.5,11.1,,12.73,12.05
"2016-03-14",,,12.88,12.62,11.5,11.1,,12.73,12.05
"2016-03-15",,,12.86,12.61,11.5,11.1,,12.73,12.1
"2016-03-16",,,12.86,12.61,11.55,11.1,,12.73,12.1
"2016-03-17",,,12.85,12.6,11.53,11.13,,12.73,12.1
"2016-03-18",,,12.85,12.6,11.53,11.13,,12.73,12.1
"2016-03-21",,,12.87,12.62,11.53,11.13,,12.73,12.1
"2016-03-22",,,12.86,12.61,11.45,11.1,,12.73,12.1
"2016-03-23",,,12.8,12.56,11.38,11.08,,12.73,12.03
"2016-03-24",,,12.8,12.56,11.38,11.08,,12.73,12.03
"2016-03-28",,,12.82,12.56,11.38,11.08,,12.73,12.03
"2016-03-29",,,12.69,12.56,11.35,11.05,,12.73,12
"2016-03-30",,,12.61,12.56,11.33,11.03,,12.73,11.97
"2016-03-31",,,12.67,12.56,11.33,11.03,,12.73,11.95
"2016-04-04",,,12.57,12.43,11.35,11.05,,12.73,11.95
"2016-04-05",,,12.61,12.47,11.35,11.05,,12.73,11.95
"2016-04-06",,,12.61,12.48,11.35,11.05,,12.73,11.95
"2016-04-07",,,12.61,12.48,11.35,11.05,,12.73,11.95
"2016-04-08",,,12.64,12.51,11.35,11.05,,12.73,11.95
"2016-04-11",,,12.65,12.52,11.3,11.05,,12.73,11.95
"2016-04-12",,,12.56,12.44,11.28,11.05,,12.73,11.9
"2016-04-13",,,12.37,12.25,11.2,11,,12.73,11.75
"2016-04-14",,,12.34,12.22,11.08,10.75,,12.73,11.68
"2016-04-15",,,12.31,12.19,11.1,10.63,,12.73,11.68
"2016-04-18",,,12.29,12.17,11.1,10.63,,12.73,11.68
"2016-04-19",,,12.33,12.21,11.1,10.63,,12.73,11.68
"2016-04-20",,,12.42,12.31,11.1,10.63,,12.73,11.72
"2016-04-21",,,12.57,12.47,11.03,10.63,,12.73,11.65
"2016-04-22",,,12.58,12.47,11.03,10.63,,12.73,11.65
"2016-04-25",,,12.63,12.53,11.08,10.7,,12.73,11.65
"2016-04-26",,,12.63,12.53,10.75,10.35,,12.73,11.45
"2016-04-27",,,12.58,12.53,10.75,10.35,,12.73,11.45
"2016-04-28",,,12.62,12.53,10.95,10.4,,12.73,11.47
"2016-04-29",,,12.6,12.53,10.95,10.4,,12.73,11.47
"2016-05-02",,,12.62,12.52,10.95,10.4,,12.73,11.47
"2016-05-03",,,12.66,12.56,10.95,10.33,,12.73,11.47
