"","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI"
"2019-01-25",-36.192498299876,25.0947957914379,-47.1392111382447,35.665116075109,-8.66131545495858,27.1503290453164,4.08278398121601,-35.4728963118474,73.032492391138,-25.4538848421107,15.3199361276175,-3.29168295292935,-15.7652428654113,-8.36872154645668,-12.7316254247358,64.6724811822939,-13.4615525324826,7.69070347942223,-28.7734791495036,6.77920608246802,-24.1757336374622
"2019-02-01",-34.738910046819,24.8433889353533,-46.9082369079019,32.2572079352172,-8.26030977209026,28.833699758335,3.97316009790555,-33.327154917563,70.7480067790418,-25.9658088316576,14.1284253346254,-4.62647230741493,-14.7553630725849,-6.20163298444678,-11.1374117933904,64.3316250999165,-13.2692044519094,7.05713892456129,-29.8346850450903,6.34196887158677,-23.4894316056745
"2019-02-08",-34.2658030204361,25.2321702289709,-46.7444788705424,30.2531121234703,-7.32109897961999,28.5959821178015,4.25011640035572,-29.7633572413159,70.6099438509171,-27.2661685907768,13.2975850830129,-5.56720396498935,-16.3855769815829,-4.925222155265,-14.3712568854505,67.2405341916728,-12.207299186711,4.44426536234381,-31.2204803337905,7.65915791905073,-21.5449210671153
"2019-02-15",-34.3124742861179,25.0991107583467,-46.7673155984341,34.7336735734977,-7.62430029441975,26.6524243151666,2.21888153196075,-25.0565590228103,61.0210279388831,-25.6225215716406,16.235760462931,-4.47197407836903,-17.3470411008049,-4.7586926281892,-7.81119478937049,67.1649404168967,-12.4683705909288,3.43312529820228,-34.0804283383272,5.92824085388573,-22.1663128503583
"2019-02-22",-38.6005067180041,25.4572423135973,-44.3748532037052,34.1191026509319,-7.61462574772132,29.687530409271,1.32611029563047,-25.5836309486964,50.072448109254,-25.0189639137264,19.5740582917388,-5.87326517652235,-9.56622684533464,-3.60441951671311,-4.38672345677814,61.6011605107555,-11.8669888805509,-1.25976785904491,-26.890086419689,5.94089871487057,-23.1384926095631
"2019-03-01",-43.7316282110773,29.8006551019699,-44.5795611012862,34.4387211633921,-7.48312997281697,30.3810586967823,1.17388432303616,-33.1968878917232,54.7820850907517,-25.7439160641443,20.8804718951456,-6.28836810684802,-8.48150614647776,-1.951878776704,-5.80437787358457,58.7812048142767,-12.1929551546407,2.16200277593135,-28.1004401982391,7.91005235674928,-22.755486720493
"2019-03-08",-43.6562784376017,29.8296595938317,-44.3109523239784,34.2599261742599,-7.50181066335348,30.2011838786045,1.1782717782374,-36.3354031793626,53.4877919444866,-24.5480304521662,24.0610673523503,-7.16235830147364,-8.23007276968878,-1.2729945941458,-4.9743671774952,60.8346704040287,-13.1504950983772,4.91723694955312,-31.4111538382393,7.56717558857777,-23.7830668280479
"2019-03-15",-43.0361489773579,32.476640244867,-41.6391089311795,24.8108472243721,-6.12647753842929,30.3119398505636,3.20230812716398,-36.6918038027113,54.692433542514,-25.450117212016,21.6477187433838,-6.04614106477582,-5.59103043196814,-2.56105977442663,-5.19552005325711,62.5874571129166,-12.0416737779538,5.70140587013335,-31.8494146996631,5.94195270623654,-25.1442071584126
"2019-03-22",-43.5512783300812,31.9194279388477,-41.1960729537885,23.793905783953,-5.97004445426987,30.5184275514138,4.48563446392497,-35.4147077352506,55.1885098976572,-25.7979020302457,20.8837690342548,-7.1923812114406,-5.57848507818394,-2.08880287679128,-7.6801900779623,69.2486685905047,-12.2019028170406,3.73995570591026,-34.0864409818743,5.99074004282127,-25.010830462359
"2019-03-29",-44.9314473918681,37.4070198265991,-41.5753629658478,23.2235189340993,-5.53334818412544,27.3550775713182,4.05454220982479,-35.364772265984,52.4983986587861,-22.0406500517215,20.4690689724578,-6.28573061595674,-6.01159119569683,-3.26472350188481,-7.80097905861519,72.0027827815543,-12.2738521666778,4.01978915971405,-35.7384659971653,6.01721878261964,-26.2264935014296
